,Actions0,Actions1,Actions2,Actions3,Actions4,Actions5
0,0,2,2,2,0,0
1,1,0,0,1,2,0
2,1,0,0,1,2,0
3,1,0,0,1,2,0
4,1,0,0,1,2,0
5,1,0,0,1,2,0
6,1,0,0,1,2,0
7,1,0,0,1,2,0
8,1,0,0,1,2,0
9,1,0,0,1,2,0
10,0,2,1,2,1,1
11,1,0,0,1,2,0
12,2,2,1,1,1,2
13,1,0,0,1,2,0
14,1,0,0,1,2,0
15,1,0,0,1,2,0
16,1,0,0,1,2,0
17,1,0,0,1,2,0
18,1,0,0,1,2,0
19,1,0,0,1,2,0
20,1,0,0,1,2,0
21,1,0,0,1,2,0
22,1,0,0,1,2,0
23,1,0,0,1,2,0
24,1,0,0,1,2,0
25,2,1,2,0,2,0
26,1,0,0,1,2,0
27,1,0,0,1,2,0
28,1,0,0,1,2,0
29,1,0,0,1,2,0
30,1,0,0,1,2,0
31,1,0,0,1,2,0
32,1,0,0,1,2,0
33,1,0,0,1,2,0
34,1,0,0,1,2,0
35,1,0,0,1,2,0
36,1,0,0,1,2,0
37,1,0,0,1,2,0
38,1,0,0,1,2,0
39,1,0,0,1,2,0
40,1,0,0,1,2,0
41,1,0,0,1,2,0
42,1,0,0,1,2,0
43,1,0,0,1,2,0
44,1,0,0,1,2,0
45,1,0,0,1,2,0
46,1,0,0,1,2,0
47,1,0,0,1,2,0
48,1,0,0,1,2,0
49,1,0,0,1,2,0
50,1,0,0,1,2,0
51,1,0,0,1,2,0
52,1,0,0,1,2,0
53,1,0,0,1,2,0
54,1,0,0,1,2,0
55,1,0,0,1,2,0
56,1,0,0,1,2,0
57,1,0,0,1,2,0
58,1,0,0,1,2,0
59,1,0,0,1,2,0
60,1,0,0,1,2,0
61,1,0,0,1,2,0
62,1,0,0,1,2,0
63,1,0,0,1,2,0
64,1,0,0,1,2,0
65,1,0,0,1,2,0
66,1,0,0,1,2,0
67,1,0,0,1,2,0
68,1,0,0,1,2,0
69,1,0,0,1,2,0
70,1,0,0,1,2,0
71,1,0,0,1,2,0
72,1,0,0,1,2,0
73,1,0,0,1,2,0
74,1,0,0,1,2,0
75,1,0,0,1,2,0
76,1,0,0,1,2,0
77,1,0,0,1,2,0
78,1,0,0,1,2,0
79,1,0,0,1,2,0
80,0,2,2,2,0,0
81,2,2,1,2,1,1
82,2,2,1,2,1,1
83,2,2,1,2,1,1
84,2,2,1,2,1,1
85,2,2,1,2,1,1
86,2,2,1,2,1,1
87,2,2,1,2,1,1
88,2,2,1,2,1,1
89,2,2,1,2,1,1
90,2,2,1,2,1,1
91,2,2,1,2,1,1
92,2,2,1,2,1,1
93,2,2,1,2,1,1
94,2,2,1,2,1,1
95,2,2,1,2,1,1
96,2,2,1,2,1,1
97,2,2,1,2,1,1
98,2,2,1,2,1,1
99,2,2,1,2,1,1
100,2,2,1,2,1,1
101,2,2,1,2,1,1
102,2,2,1,2,1,1
103,2,2,1,2,1,1
104,2,2,1,2,1,1
105,2,2,1,2,1,1
106,2,2,1,2,1,1
107,2,2,1,2,1,1
108,2,2,1,2,1,1
109,2,2,1,2,1,1
110,2,2,1,2,1,1
111,2,2,1,2,1,1
112,2,2,1,2,1,1
113,2,2,1,2,1,1
114,2,2,1,2,1,1
115,2,2,1,2,1,1
116,2,2,1,2,1,1
117,2,2,1,2,1,1
118,2,2,1,2,1,1
119,2,2,1,2,1,1
120,2,2,1,2,1,1
121,2,2,1,2,1,1
122,2,2,1,2,1,1
123,2,2,1,2,1,1
124,2,2,1,2,1,1
125,2,2,1,2,1,1
126,2,2,1,2,1,1
127,2,2,1,2,1,1
128,2,2,1,2,1,1
129,2,2,1,2,1,1
130,2,2,1,2,1,1
131,2,2,1,2,1,1
132,2,2,1,2,1,1
133,2,2,1,2,1,1
134,2,2,1,2,1,1
135,2,2,1,2,1,1
136,1,0,0,1,2,0
137,1,0,0,1,2,0
138,1,0,0,1,2,0
139,1,0,0,1,2,0
140,1,0,0,1,2,0
141,1,0,0,1,2,0
142,1,0,0,1,2,0
143,1,0,0,1,2,0
144,1,0,0,1,2,0
145,1,0,0,1,2,0
146,1,0,0,1,2,0
147,1,0,0,1,2,0
148,1,0,0,1,2,0
149,1,0,0,1,2,0
150,1,0,0,1,2,0
151,1,0,0,1,2,0
152,1,0,0,1,2,0
153,0,2,2,2,0,0
154,1,0,0,1,2,0
155,1,0,0,1,2,0
156,1,0,0,1,2,0
157,1,0,0,1,2,0
158,1,2,2,0,0,0
159,2,2,1,2,1,1
160,2,2,1,2,1,1
161,2,2,1,2,1,1
162,2,2,1,2,1,1
163,2,2,1,2,1,1
164,2,2,1,2,1,1
165,2,2,1,2,1,1
166,2,2,1,2,1,1
167,2,2,1,2,1,1
168,2,2,1,2,1,1
169,2,2,1,2,1,1
170,2,2,1,2,1,1
171,2,2,1,2,1,1
172,2,2,1,2,1,1
