,Actions0,Actions1,Actions2,Actions3,Actions4,Actions5
0,1,2,2,2,2,2
1,1,2,2,2,2,2
2,1,2,2,2,2,2
3,1,2,2,2,2,2
4,1,2,2,2,2,2
5,1,2,2,2,2,2
6,1,2,2,2,2,2
7,1,2,2,2,2,2
8,1,2,2,2,2,2
9,1,2,2,2,2,2
10,1,2,2,2,2,2
11,1,2,2,2,2,2
12,1,2,2,2,2,2
13,1,2,2,2,2,2
14,1,2,2,2,2,2
15,1,2,2,2,2,2
16,1,2,2,2,2,2
17,1,2,2,2,2,2
18,1,2,2,2,2,2
19,1,2,2,2,2,2
20,1,2,2,2,2,2
21,1,2,2,2,2,2
22,1,2,2,2,2,2
23,1,2,2,2,2,2
24,1,2,2,2,2,2
25,1,2,2,2,2,2
26,1,2,2,2,2,2
27,1,2,2,2,2,2
28,1,2,2,2,2,2
29,1,2,2,2,2,2
30,1,2,2,2,2,2
31,1,2,2,2,2,2
32,1,2,2,2,2,2
33,1,2,2,2,2,2
34,1,2,2,2,2,2
35,1,2,2,2,2,2
36,1,2,2,2,2,2
37,1,2,2,2,2,2
38,1,2,2,2,2,2
39,1,2,2,2,2,2
40,1,2,2,2,2,2
41,1,2,2,2,2,2
42,1,2,2,2,2,2
43,1,2,2,2,2,2
44,1,2,2,2,2,2
45,1,2,2,2,2,2
46,1,2,2,2,2,2
47,1,2,2,2,2,2
48,1,2,2,2,2,2
49,1,2,2,2,2,2
50,1,2,2,2,2,2
51,1,2,2,2,2,2
52,1,2,2,2,2,2
53,1,2,2,2,2,2
54,1,2,2,2,2,2
55,1,2,2,2,2,2
56,1,2,2,2,2,2
57,1,2,2,2,2,2
58,1,2,2,2,2,2
59,1,2,2,2,2,2
60,1,2,2,2,2,2
61,1,2,2,2,2,2
62,1,2,2,2,2,2
63,1,2,2,2,2,2
64,1,2,2,2,2,2
65,1,2,2,2,2,2
66,1,2,2,2,2,2
67,1,2,2,2,2,2
68,2,1,2,0,0,0
69,1,2,2,2,2,2
70,1,2,2,2,2,2
71,1,2,2,2,2,2
72,1,2,2,2,2,2
73,1,2,2,2,2,2
74,1,2,2,2,2,2
75,1,2,2,2,2,2
76,1,2,2,2,2,2
77,1,2,2,2,2,2
78,1,2,2,2,2,2
79,1,2,2,2,2,2
80,1,2,2,2,2,2
81,1,2,2,2,2,2
82,1,2,2,2,2,2
83,1,2,2,2,2,2
84,1,2,2,2,2,2
85,1,2,2,2,2,2
86,1,2,2,2,2,2
87,1,2,2,2,2,2
88,1,2,2,2,2,2
89,1,2,2,2,2,2
90,1,2,2,2,2,2
91,1,2,2,2,2,2
92,1,2,2,2,2,2
93,1,2,2,2,2,2
94,1,2,2,2,2,2
95,1,2,2,2,2,2
96,1,2,2,2,2,2
97,1,2,2,2,2,2
98,1,2,2,2,2,2
99,1,2,2,2,2,2
100,1,2,2,2,2,2
101,1,2,2,2,2,2
102,1,2,2,2,2,2
103,1,2,2,2,2,2
104,1,2,2,2,2,2
105,1,2,2,2,2,2
106,1,2,2,2,2,2
107,1,2,2,2,2,2
108,1,2,2,2,2,2
109,1,2,2,2,2,2
110,1,2,2,2,2,2
111,1,2,2,2,2,2
112,1,2,2,2,2,2
113,1,2,2,2,2,2
114,1,2,2,2,2,2
115,1,2,2,2,2,2
116,1,2,2,2,2,2
117,1,2,2,2,2,2
118,1,2,2,2,2,2
119,1,2,2,2,2,2
120,1,2,2,2,2,2
121,1,2,2,2,2,2
122,1,2,2,2,2,2
123,1,2,2,2,2,2
124,1,2,2,2,2,2
125,1,2,2,2,2,2
126,1,2,2,2,2,2
127,1,2,2,2,2,2
128,1,2,2,2,2,2
129,1,2,2,2,2,2
130,1,2,2,2,2,2
131,1,2,2,2,2,2
132,1,2,2,2,2,2
133,1,2,2,2,2,2
134,1,2,2,2,2,2
135,1,2,2,2,2,2
136,1,2,2,2,2,2
137,1,2,2,2,2,2
138,1,2,2,2,2,2
139,1,2,2,2,2,2
140,1,2,2,2,2,2
141,1,2,2,2,2,2
142,1,2,2,2,2,2
143,1,2,2,2,2,2
144,1,2,2,2,2,2
145,1,2,2,2,2,2
146,1,2,2,2,2,2
147,1,2,2,2,2,2
148,1,2,2,2,2,2
149,1,2,2,2,2,2
150,1,2,2,2,2,2
151,1,2,2,2,2,2
152,1,2,2,2,2,2
153,1,2,2,2,2,2
154,1,2,2,2,2,2
155,1,2,2,2,2,2
156,1,2,2,2,2,2
157,1,2,2,2,2,2
158,1,2,2,2,2,2
159,1,2,2,2,2,2
160,1,2,2,2,2,2
161,1,2,2,2,2,2
162,1,2,2,2,2,2
163,1,2,2,2,2,2
164,1,2,2,2,2,2
165,1,2,2,2,2,2
166,1,2,2,2,2,2
167,1,2,2,2,2,2
168,1,2,2,2,2,2
169,1,2,2,2,2,2
170,1,2,2,2,2,2
171,1,2,2,2,2,2
172,1,2,2,2,2,2
173,1,2,2,2,2,2
174,1,2,2,2,2,2
175,1,2,2,2,2,2
176,1,2,2,2,2,2
177,1,2,2,2,2,2
178,1,2,2,2,2,2
179,1,2,2,2,2,2
180,1,2,2,2,2,2
181,1,2,2,2,2,2
182,1,2,2,2,2,2
183,1,2,2,2,2,2
184,1,2,2,2,2,2
185,1,2,2,2,2,2
186,1,2,2,2,2,2
187,1,2,2,2,2,2
188,1,2,2,2,2,2
189,1,2,2,2,2,2
190,1,2,2,2,2,2
191,1,2,2,2,2,2
192,1,2,2,2,2,2
193,1,2,2,2,2,2
194,1,2,2,2,2,2
195,1,2,2,2,2,2
196,1,2,2,2,2,2
197,1,2,2,2,2,2
198,1,2,2,2,2,2
199,1,2,2,2,2,2
200,1,2,2,2,2,2
201,1,2,2,2,2,2
202,0,1,1,1,1,0
203,1,2,2,2,2,2
204,1,2,2,2,2,2
205,1,2,2,2,2,2
206,1,2,2,2,2,2
207,1,2,2,2,2,2
208,1,2,2,2,2,2
209,1,2,2,2,2,2
210,1,2,2,2,2,2
211,1,2,2,2,2,2
212,1,2,2,2,2,2
213,1,2,2,2,2,2
214,1,2,2,2,2,2
215,1,2,2,2,2,2
216,1,2,2,2,2,2
217,1,2,2,2,2,2
218,1,2,2,2,2,2
219,1,2,2,2,2,2
220,1,2,2,2,2,2
221,1,2,2,2,2,2
222,1,2,2,2,2,2
223,1,2,2,2,2,2
224,1,2,2,2,2,2
225,1,2,2,2,2,2
226,1,2,2,2,2,2
227,1,2,2,2,2,2
228,1,2,2,2,2,2
229,1,2,2,2,2,2
230,1,2,2,2,2,2
231,1,2,2,2,2,2
232,0,2,1,1,1,0
233,1,2,2,2,2,2
234,0,1,2,1,0,0
235,1,2,2,2,2,2
236,1,2,2,2,2,2
237,1,2,2,2,2,2
238,1,2,2,2,2,2
239,1,2,2,2,2,2
240,1,2,2,2,2,2
241,1,2,2,2,2,2
242,1,2,2,2,2,2
243,1,2,2,2,2,2
244,1,2,2,2,2,2
245,1,2,2,2,2,2
246,1,2,2,2,2,2
247,1,2,2,2,2,2
248,2,2,2,1,2,2
249,1,2,2,2,2,2
250,1,2,2,2,2,2
251,1,2,2,2,2,2
252,1,2,2,2,2,2
253,1,2,2,2,2,2
254,1,2,2,2,2,2
255,1,2,2,2,2,2
256,1,2,2,2,2,2
257,1,2,2,2,2,2
258,1,2,2,2,2,2
259,2,1,2,0,0,0
260,1,2,2,2,2,2
261,1,2,0,2,2,1
262,2,1,2,0,0,0
263,1,2,2,2,2,2
264,1,2,2,2,2,2
265,1,2,2,2,2,2
266,1,2,2,2,2,2
267,1,2,2,2,2,2
268,1,2,2,2,2,2
269,1,2,2,2,2,2
270,1,2,2,2,2,2
271,1,2,2,2,2,2
272,1,2,2,2,2,2
273,1,2,2,2,2,2
274,1,2,2,2,2,2
275,1,2,2,2,2,2
276,1,2,2,2,2,2
277,1,2,2,2,2,2
278,1,2,2,2,2,2
279,1,2,2,2,2,2
280,1,2,2,2,2,2
281,1,2,2,2,2,2
282,1,2,2,2,2,2
283,2,1,2,0,1,2
284,2,1,2,0,1,2
285,1,2,2,2,2,2
286,1,2,2,2,2,2
287,1,2,2,2,2,2
288,1,2,2,2,2,2
289,1,2,2,2,2,2
290,1,2,2,2,2,2
291,1,2,2,2,2,2
292,1,2,2,2,2,2
293,1,2,2,2,2,2
294,1,2,2,2,2,2
295,1,2,2,2,2,2
296,1,2,2,2,2,2
297,1,2,2,2,2,2
298,1,2,2,1,1,1
299,1,2,2,2,2,2
300,1,2,2,2,2,2
301,1,2,2,2,2,2
302,1,2,2,2,2,2
303,0,0,2,2,2,2
304,1,2,1,2,0,2
305,1,2,1,2,0,2
306,1,2,1,2,0,2
307,1,2,1,2,0,2
308,1,2,1,2,0,2
309,1,2,1,2,0,2
310,1,2,1,2,0,2
311,1,2,1,2,0,2
312,1,2,1,2,0,2
313,1,2,1,2,0,2
314,1,2,1,2,0,2
315,1,2,1,2,0,2
316,1,2,1,2,0,2
317,1,2,1,2,0,2
318,1,2,1,2,0,2
319,1,2,1,2,0,2
320,1,2,1,2,0,2
321,1,2,1,2,0,2
322,1,2,1,2,0,2
323,1,2,1,2,0,2
324,1,2,1,2,0,2
325,1,2,1,2,0,2
326,1,2,1,2,0,2
327,1,2,1,2,0,2
328,1,2,1,2,0,2
329,1,2,1,2,0,2
330,1,2,1,2,0,2
331,1,2,1,2,0,2
332,1,2,1,2,0,2
333,1,2,1,2,0,2
334,1,2,1,2,0,2
335,1,2,1,2,0,2
336,1,2,1,2,0,2
337,1,2,1,2,0,2
338,1,2,1,2,0,2
339,1,2,1,2,0,2
